reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
16175790,16175790,"(12R,15R,32S,33R)-4,5,6,14,20,21,22,25,26,27,38,39,40,43,44,55-hexadecahydroxy-2,10,13,16,31,34,46,53-octaoxaundecacyclo[46.7.1.03,8.012,33.015,32.018,23.024,29.036,41.042,51.045,50.049,54]hexapentaconta-1(55),3,5,7,18,20,22,24,26,28,36,38,40,42,44,48(56),49(54),50-octadecaene-9,17,30,35,47,52-hexone",C48H28O30,1084.7,Not available,,,,
5281612,5281612,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chromen-4-one ",C16H12O6,300.26,C10038 ,,,,
5281614,5281614,"2-(3,4-dihydroxyphenyl)-3,7-dihydroxychromen-4-one ",C15H10O6,286.24,C10041 ,,,,
5281616,5281616,"3,5,7-trihydroxy-2-phenylchromen-4-one ",C15H10O5,270.24,C10044 ,,,,
5281666,5281666,"3,5,7-trihydroxy-2-(4-methoxyphenyl)chromen-4-one ",C16H12O6,300.26,C10098 ,,,,
5281670,5281670,"2-(2,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one ",C15H10O7,302.23,C10105 ,,,,
5281671,5281671,"2-(2,4-dihydroxyphenyl)-5-hydroxy-8,8-dimethyl-3-(3-methylbut-2-enyl)pyrano[2,3-h]chromen-4-one ",C25H24O6,420.5,C10106 ,,,,
5281672,5281672,"3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one ",C15H10O8,318.23,C10107 ,,,,
206037,206037,1-isothiocyanato-5-methylsulfanylpentane ,C7H13NS2,175.3,Not available,,,,
5281674,,,,,,,,,
5281607,5281607,"5,7-dihydroxy-2-phenylchromen-4-one ",C15H10O4,254.24,C10028 ,,,,
5281703,5281703,"5,7-dihydroxy-8-methoxy-2-phenylchromen-4-one ",C16H12O5,284.26,C10197 ,,,,
5281855,5281855,"6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione",C14H6O8,302.19,C10788 ,,,,
5282152,5282152,"7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxychromen-4-one",C27H30O15,594.5,C12630 ,,,,
5281392,5281392,"5-methoxy-2,2-dimethyl-6-[(E)-2-methylbut-2-enoyl]-10-phenylpyrano[2,3-f]chromen-8-one",C26H24O5,416.5,C09158 ,,,,
5281540,5281540,"methyl (1S,4S,5S,6S,8S,10S,11E,14S)-11-ethylidene-6-hydroxy-12-oxo-7,9,13-trioxatetracyclo[6.5.1.01,10.04,14]tetradec-2-ene-5-carboxylate",C15H16O7,308.28,C09766 ,,,,
5281417,5281417,"7-hydroxy-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one",C15H16O9,340.28,C09264 ,,,,
197835,197835,"(3S)-6,7-dimethoxy-3-[(5R)-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-3H-2-benzofuran-1-one",C21H21NO6,383.4,Not available,,,,
